txHash,max_inflation_difference,e_inflation_difference,min_deflation_difference,e_deflation_difference
0x3286e3c69b9a7514d80cb49d4d9dbe8e0693e9d5287f749cf771d26453ae1c59,-4.34521,-2.97956,3.31001,1.99709
0x202dbb55d0abaacb43c3c6b3c03a4c74aadde31304a6c1fb9ba3843a3d63e093,-2.04204,-1.40025,1.55555,0.93854
0x61fc1ff4814c8beee1e422a729e41e79cf3c46e01d00f4890173e51b258e4b5f,-6.37903,-4.37417,4.8593,2.93185
0xcdd2ab2e442ff6d1b7a349bf7048363f15a7f9dc36d6a198ac9e8f50e95b2916,-3.70481,-2.54043,2.82218,1.70276
0x788cc7c5495393069306939c1f4e7648c8822ce0ca064db5f6a4c98f9ceac0a4,-12.51627,-8.58255,9.53441,5.75258
0x75b9a691f63f5288ce21ba185e3f2b4247588a25a926b93a5142383cda09a326,-2.59748,-1.78112,1.97866,1.19382
0x726059e9692f3fa4fb7b9af62865909b8ed3fc6a82ca505cb3bb457f773f7c09,-4.65704,-3.19338,3.54755,2.14041
0xe1b37693b6ede56620715daa764c2b07eb6a63714f53e79a2e5365d1d2fc0f25,-0.47312,-0.32442,0.3604,0.21745
0xf326044386638330e632f006ad1bc028f14b7d38be378ca60e9e34053a35bc3d,-0.68273,-0.46815,0.52007,0.31379
0x5a378a8cbb0f432ba05278ace7ea6d45f40f478d2f37172fac3905a458fc3342,-49.55302,-33.97907,37.74758,22.77497
0x0ebcee63ece6c02ce6df8d94fff2477881e46fa3c1e80bd813e7a824d68ce97d,-12.81904,-8.79016,9.76505,5.89174
0xbd99bcffcfeaf81d85a32b68552f5b880490aae201dda7cfb678c1ac7107f99e,-1.12781,-0.77335,0.85912,0.51835
0xfd4ff41c526780e6c32134dc64aa3aeb7169308441988d5e96f2461a0687ce85,-0.32101,-0.22012,0.24453,0.14754
